id,CODIGO_SEC,SECTO1_1993,SECTO2_1993,SECTO3_1993,SECTO4_1993,SECTO5_1993,SECTO6_1993,SECTO1_2005,SECTO2_2005,SECTO3_2005,SECTO4_2005,SECTO5_2005,SECTO6_2005
208,1100114103,167,121,141,105,37,11,222,128,151,106,28,29
209,1100114104,114,187,379,405,150,108,137,180,377,173,98,37
210,1100114105,122,247,686,907,504,301,120,279,458,592,264,140
211,1100114106,87,187,404,402,205,103,92,135,289,316,77,47
212,1100114107,20,51,291,692,537,251,28,123,249,648,258,128
213,1100114108,14,54,214,582,434,272,11,91,512,759,390,205
214,1100114109,28,51,183,500,362,236,20,90,335,549,244,90
215,1100114110,76,120,215,221,87,60,60,60,159,118,22,9
216,1100114111,34,58,134,196,119,72,16,85,179,211,100,43
217,1100114201,59,80,163,117,43,28,38,93,63,96,1,18
218,1100114202,27,59,240,638,415,201,57,134,454,1261,549,209
219,1100114203,129,251,607,820,432,202,53,253,408,740,276,143
220,1100114204,122,298,772,1009,476,165,136,413,1232,1463,392,183
221,1100114205,129,253,819,961,420,174,59,224,1269,1513,815,328
222,1100114206,123,305,902,1350,586,219,66,347,1010,1104,312,117
223,1100114207,87,39,19,10,2,6,0,21,12,21,0,0
224,1100114208,10,15,9,8,1,3,19,0,20,0,39,15
225,1100114209,32,68,251,471,320,114,18,82,387,623,213,78
226,1100114210,20,59,335,916,644,323,41,35,457,862,381,151
227,1100114211,38,134,373,570,231,116,75,156,518,644,406,66
228,1100114212,7,4,38,190,221,112,13,25,288,979,581,288
229,1100114301,3,12,34,36,16,6,0,0,10,55,0,0
230,1100114302,38,84,294,398,195,83,12,141,360,462,144,67
231,1100114303,58,145,411,536,219,90,74,101,538,648,206,110
232,1100114304,351,880,1959,2178,791,348,242,913,1832,2392,599,375
233,1100114305,138,296,599,525,159,80,70,254,419,335,48,138
234,1100114306,84,224,486,465,156,83,95,231,381,700,306,137
235,1100114307,86,245,510,563,225,98,62,272,552,575,175,53
236,1100114308,104,185,601,897,442,205,90,220,600,840,318,170
237,1100114309,54,146,470,924,501,230,121,213,654,1033,226,74
238,1100114401,86,209,564,918,632,327,126,265,969,1329,773,160
